Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.001013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.002342,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,2,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,1,4,2,0
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.003693,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,1,3,0,3,0,0,0,1,1,1,0,0,0,0,0,3,1,3,2,1,6,3,0
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.004998,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,1,0,0,1,3,1,5,0,0,0,2,2,1,0,0,2,0,1,3,3,5,4,2,6,5,2
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.006312,0,1,2,0,0,0,0,3,0,0,2,0,0,0,2,0,0,2,1,0,0,1,3,1,6,0,0,0,4,2,1,0,0,2,0,1,3,4,6,4,4,6,5,2
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.007594,0,1,2,0,0,0,0,4,0,0,2,0,0,0,2,0,0,2,1,0,0,1,3,1,6,0,0,0,5,2,1,0,0,2,0,1,4,4,6,4,6,6,6,2
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.008928,0,1,2,0,0,0,2,7,0,0,2,0,0,0,2,0,0,3,1,0,0,1,4,1,6,0,0,0,5,2,1,0,0,3,1,1,5,4,6,4,7,7,6,3
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.010369999999999999,0,1,2,0,0,2,3,7,1,2,2,1,1,0,2,0,0,4,2,0,0,2,4,1,7,0,0,0,5,3,1,0,0,3,2,1,5,6,7,6,9,8,7,3
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.011514,0,3,4,0,0,2,3,7,1,3,2,1,1,0,3,0,0,5,2,0,0,2,5,1,7,0,0,0,6,3,1,0,0,3,2,2,7,6,7,6,9,10,9,3
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.01256,0,4,5,0,0,3,3,8,1,3,2,1,1,0,3,0,0,5,2,0,0,2,5,1,8,0,0,0,7,3,1,0,0,3,2,2,9,6,7,6,10,10,10,4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.013785,0,4,5,0,0,3,3,8,1,3,2,1,1,0,3,0,1,5,2,0,0,2,5,1,8,1,0,0,7,3,1,0,0,3,2,3,10,8,10,6,10,10,10,4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.014962999999999999,0,4,5,0,0,3,4,10,1,3,2,2,1,0,3,0,1,5,2,0,0,2,5,1,8,1,0,0,7,4,2,0,0,3,3,3,10,10,10,6,10,10,10,4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.016212999999999998,0,4,6,0,0,4,4,10,2,3,3,2,1,0,3,0,1,5,2,0,0,2,5,1,9,1,0,0,7,4,2,0,0,3,4,3,10,10,10,7,10,10,10,4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.017590183306024038,0,4,6,0,0,4,4,10,3,3,3,2,1,0,4,0,1,6,4,0,0,2,5,1,9,1,0,0,8,6,2,0,0,3,4,3,10,10,10,8,10,10,10,4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.018765,0,4,6,0,0,4,4,10,3,3,3,3,1,0,4,0,1,6,4,0,0,2,5,1,9,1,0,0,8,6,2,0,0,3,5,3,10,10,10,9,10,10,10,4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.019939,0,4,6,0,0,5,4,10,3,3,3,3,1,0,4,0,2,6,4,0,0,2,5,1,10,1,0,0,8,6,3,0,0,4,5,3,10,10,10,9,10,10,10,7
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.021017,0,4,8,0,0,5,4,10,5,3,3,3,1,0,4,0,2,6,4,0,0,2,5,1,10,1,0,0,8,6,3,0,0,4,5,3,10,10,10,9,10,10,10,8
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.022071999999999998,0,5,10,0,0,5,4,10,6,3,3,3,1,0,4,0,2,6,5,0,0,2,5,2,10,1,0,0,8,6,3,0,0,4,5,3,10,10,10,10,10,10,10,8
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.023125,0,5,10,0,0,5,5,10,6,3,3,3,2,0,4,0,2,7,5,0,0,2,5,2,10,1,0,0,8,7,4,0,0,6,5,3,10,10,10,10,10,10,10,9
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.024276,0,5,10,0,0,6,5,10,7,3,3,3,3,0,4,0,2,7,5,0,0,2,5,2,10,1,0,0,8,7,4,0,0,7,5,3,10,10,10,10,10,10,10,9
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.025371,0,5,10,0,0,7,5,10,7,4,3,3,3,0,4,0,3,9,5,0,0,2,5,4,10,1,0,0,8,7,4,0,0,7,5,3,10,10,10,10,10,10,10,9
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.026379,0,5,10,0,0,8,5,10,8,4,3,3,3,0,4,0,3,9,5,0,0,2,5,4,10,1,0,0,8,7,4,0,0,7,5,3,10,10,10,10,10,10,10,9
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.027696,0,5,10,0,1,8,5,10,8,5,3,3,3,0,4,0,4,10,5,0,0,2,5,4,10,1,0,0,8,7,4,0,0,7,5,3,10,10,10,10,10,10,10,9
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.028759,0,5,10,0,1,8,5,10,8,5,3,3,3,0,4,0,4,10,5,0,0,2,5,4,10,2,0,0,8,8,4,0,0,7,5,5,10,10,10,10,10,10,10,9
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.030064999997,0,5,10,0,1,8,5,10,9,5,3,5,3,0,4,0,6,10,5,0,0,3,5,4,10,2,0,0,8,9,4,0,0,7,5,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.031291,0,5,10,0,1,8,5,10,9,5,3,6,3,0,4,0,6,10,5,0,0,3,5,4,10,2,0,0,8,10,4,0,0,8,5,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.032305,0,7,10,0,2,8,5,10,9,5,3,6,3,0,4,0,6,10,5,0,0,3,5,4,10,2,0,0,8,10,4,0,0,8,5,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.033590999999999996,0,7,10,0,2,8,5,10,9,5,3,6,3,0,4,0,6,10,6,0,0,3,6,4,10,3,0,0,9,10,5,0,0,8,5,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.034666,0,7,10,0,2,8,5,10,9,5,3,6,3,0,4,0,6,10,6,0,0,3,6,5,10,4,0,0,9,10,5,0,0,9,5,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.03609,0,7,10,0,2,9,5,10,10,5,3,6,3,0,4,0,6,10,6,0,0,3,6,5,10,4,0,0,9,10,5,0,0,9,5,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.037107,0,7,10,0,2,9,5,10,10,5,3,6,3,0,4,0,6,10,6,0,0,3,6,6,10,4,0,0,9,10,5,0,0,9,5,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.03811,0,7,10,0,2,9,6,10,10,5,3,6,3,0,5,0,6,10,6,0,0,3,6,6,10,4,0,0,9,10,5,0,0,10,5,6,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.039247,0,7,10,0,2,10,6,10,10,5,3,7,3,0,5,0,6,10,6,0,0,3,6,6,10,4,0,0,9,10,5,0,0,10,5,6,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.040685,0,7,10,0,2,10,6,10,10,5,3,7,3,0,6,0,7,10,6,0,0,3,7,6,10,4,0,0,9,10,5,0,0,10,5,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.041718,0,7,10,0,2,10,7,10,10,5,3,7,3,0,6,0,7,10,6,0,0,3,7,6,10,4,0,0,9,10,5,0,0,10,5,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.042969,0,7,10,0,2,10,7,10,10,6,3,7,3,0,7,0,7,10,6,0,0,3,7,6,10,4,0,0,9,10,5,0,0,10,5,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.043983,0,7,10,0,2,10,7,10,10,6,3,8,3,0,7,0,7,10,6,0,0,3,7,6,10,4,0,0,9,10,5,0,0,10,5,7,10,10,10,10,10,10,10,10
