Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.001021,1,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,2,2,0,4,2,1
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.002388,1,1,2,2,1,0,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,2,0,1,4,0,0,1,3,4,5,2,5,3,2
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.00399,1,1,3,2,1,2,3,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,3,0,0,1,0,0,3,0,3,0,2,8,0,0,4,6,7,5,7,7,5,7
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.005188,1,1,3,4,1,2,3,1,1,1,1,1,1,0,1,0,3,3,0,0,0,0,4,1,0,1,0,0,3,0,3,0,2,9,0,0,9,6,9,9,8,9,7,8
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.0066229999999999995,2,1,3,4,2,2,4,1,4,1,1,1,1,0,1,0,3,3,0,2,0,0,5,1,0,1,0,0,4,0,4,0,2,10,1,1,10,7,10,10,9,10,8,8
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.008105,2,2,3,4,2,3,4,2,7,1,2,1,1,0,1,0,4,3,1,2,0,0,6,2,0,1,0,0,4,0,4,1,2,10,1,3,10,9,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.009171,2,2,3,4,3,4,4,2,8,2,2,1,2,0,1,0,4,3,1,2,0,0,7,2,1,1,0,0,4,0,4,1,2,10,2,3,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.010239,3,3,3,4,3,4,5,2,8,2,3,1,2,0,1,0,4,4,1,2,0,0,7,2,1,1,0,0,4,0,4,1,2,10,2,3,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.011341,3,4,3,5,3,4,5,3,8,2,3,1,2,0,1,0,4,4,1,3,0,2,7,4,1,2,0,0,4,0,6,1,2,10,2,3,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.012594,3,4,3,5,3,4,5,4,10,2,4,1,2,0,2,1,4,4,1,3,0,2,10,4,2,2,1,0,5,1,6,1,2,10,2,3,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.013959,3,5,3,5,3,6,6,5,10,2,6,1,2,0,3,1,4,5,1,3,0,2,10,4,2,2,1,0,5,3,6,2,3,10,2,3,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.014969999999999999,3,6,4,5,3,7,7,5,10,2,7,1,2,0,3,1,4,5,1,3,0,2,10,5,2,2,1,0,5,3,6,2,3,10,2,3,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.016086,3,7,4,6,3,7,9,5,10,2,7,2,2,0,4,1,4,5,1,3,0,2,10,6,3,3,1,0,6,3,6,2,3,10,2,3,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.017159999999999998,3,7,4,7,3,8,10,6,10,2,8,2,2,0,4,1,4,5,1,4,0,2,10,6,3,4,2,0,6,4,6,2,3,10,2,4,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.018193,3,7,5,7,4,10,10,6,10,2,9,2,2,0,5,1,6,5,1,4,1,2,10,6,5,4,2,0,7,5,6,2,3,10,2,4,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.019219,3,8,6,7,4,10,10,6,10,2,9,2,2,0,5,1,7,5,1,4,2,2,10,7,7,4,2,0,7,5,6,2,3,10,2,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.020235,3,9,6,7,4,10,10,7,10,2,10,3,2,1,6,1,7,5,1,4,2,2,10,7,7,4,2,0,7,5,7,2,3,10,2,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.021262,3,9,7,7,4,10,10,8,10,2,10,3,2,1,7,1,7,5,1,4,2,2,10,7,7,5,2,0,7,5,8,2,3,10,2,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.022445,3,10,7,7,4,10,10,8,10,2,10,3,2,1,7,2,7,5,1,4,2,2,10,7,7,5,2,0,7,5,9,2,4,10,3,6,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.023447,3,10,7,7,4,10,10,8,10,2,10,3,2,1,7,2,7,5,1,4,2,2,10,7,7,5,2,0,7,5,9,2,4,10,3,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.024589,3,10,7,7,4,10,10,10,10,2,10,3,2,1,7,2,7,5,1,4,2,2,10,7,7,5,3,0,7,5,10,2,4,10,4,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.025745,4,10,7,8,4,10,10,10,10,2,10,3,2,1,8,2,8,5,2,4,2,2,10,7,7,5,4,0,8,5,10,2,5,10,4,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.026813,4,10,7,8,4,10,10,10,10,2,10,3,2,1,8,2,8,5,2,4,2,3,10,7,7,5,4,0,10,5,10,2,5,10,4,8,10,10,10,10,10,10,10,10
