Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.001021,1,1,3,4,0,3,1,2,0,1,0,1,0,2,0,2,1,1,0,2,0,0,3,4,2,0,0,0,0,5,0,0,1,2,1,1,8,4,10,9,10,6,7,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.002075,1,2,10,4,1,4,2,6,3,2,2,3,2,3,1,2,1,3,0,2,1,0,4,5,3,0,1,0,1,10,0,1,1,3,3,6,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.003199,1,4,10,5,1,6,5,10,9,2,5,6,3,4,3,4,3,4,0,2,1,0,4,6,6,0,3,1,1,10,0,2,1,9,4,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.004384,1,6,10,5,1,8,9,10,10,3,5,8,4,6,3,4,3,5,0,3,2,0,5,7,10,0,3,4,2,10,3,2,2,10,7,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.005398446799001658,1,7,10,7,1,10,10,10,10,5,7,9,5,6,4,4,4,9,2,4,4,0,6,7,10,0,5,6,6,10,5,3,2,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.006406,1,10,10,8,2,10,10,10,10,6,8,10,5,7,4,5,7,10,3,7,5,2,6,8,10,1,6,6,7,10,5,4,2,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.007821594129848172,1,10,10,10,3,10,10,10,10,7,10,10,5,7,5,7,10,10,7,8,5,2,9,10,10,2,8,6,8,10,6,5,2,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.008845,2,10,10,10,3,10,10,10,10,7,10,10,5,8,5,7,10,10,9,9,6,4,9,10,10,3,8,6,9,10,10,5,2,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.009996999999999999,3,10,10,10,3,10,10,10,10,8,10,10,6,8,7,8,10,10,9,9,6,6,10,10,10,3,8,6,10,10,10,6,3,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.011015179663723566,3,10,10,10,4,10,10,10,10,8,10,10,7,9,8,9,10,10,9,10,8,6,10,10,10,4,8,7,10,10,10,7,5,10,10,10,10,10,10,10,10,10,10,10
