Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.001011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,2,1,2,3,1,1
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.002023,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,2,0,1,0,0,1,0,1,2,5,2,3,3,1,4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.003116,0,0,2,1,0,1,0,1,1,0,2,0,0,0,1,0,1,1,0,0,0,2,0,2,2,1,0,0,0,2,0,1,0,0,1,1,3,4,6,3,3,3,4,7
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.0042699999999999995,1,0,5,1,0,2,1,1,1,0,3,0,0,0,2,0,1,2,0,1,0,2,1,3,2,2,0,0,0,2,0,1,0,1,3,1,4,6,9,4,3,3,5,9
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.005305,1,0,5,1,0,2,1,2,1,0,3,1,0,0,2,0,1,2,0,1,0,2,2,4,2,2,0,0,0,2,0,1,0,2,3,1,8,6,10,4,5,4,7,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.006346,1,0,5,1,1,2,1,2,2,0,4,2,0,0,2,0,1,2,0,1,0,2,3,5,2,2,0,0,0,2,0,2,0,2,3,1,8,8,10,4,6,7,7,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.00758,2,0,5,2,2,2,2,3,2,0,7,3,1,0,2,0,3,2,0,1,0,2,3,6,3,2,0,0,0,2,1,2,0,2,3,2,10,9,10,5,7,8,9,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.008852,2,0,6,2,2,2,5,3,2,0,7,5,1,0,2,0,3,2,2,2,0,2,3,7,3,2,1,0,0,2,1,2,0,2,3,2,10,9,10,8,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.010229,2,0,6,2,2,2,6,3,2,0,9,6,2,0,2,0,4,2,3,2,0,3,3,7,3,2,1,0,0,4,1,3,0,3,4,2,10,10,10,8,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm greedy,0.011231999999999999,2,1,7,2,2,2,6,3,2,0,9,6,2,0,2,0,4,2,3,2,0,3,3,7,3,2,1,0,1,5,1,3,0,3,6,2,10,10,10,9,10,10,10,10
