Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.001006,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,0,1,2,0,1,1
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.002264,0,0,0,1,0,0,2,0,1,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2,4,1,2,2,4,3,3,3
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.003686,0,0,2,1,1,2,2,2,1,1,1,0,0,1,1,0,5,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,3,3,4,4,3,3,4,4,5,4,7
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.004993,0,0,3,1,1,2,2,4,2,1,1,1,1,1,2,0,5,0,0,0,0,1,0,1,3,0,1,0,1,0,0,0,2,3,3,5,7,4,3,7,7,8,5,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.006017,0,0,4,2,1,2,2,4,2,2,1,1,1,1,2,0,6,2,1,0,0,1,0,1,4,0,1,0,1,0,0,0,2,3,3,5,9,9,5,10,8,10,6,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.007097,0,0,4,3,1,3,2,5,2,2,2,1,1,1,2,0,6,2,1,0,1,1,1,1,4,0,1,0,1,0,0,0,2,4,3,5,9,10,7,10,8,10,7,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.008269,0,0,5,3,1,4,2,7,2,3,3,1,1,1,2,0,6,3,1,0,1,2,1,1,5,0,1,0,1,3,0,0,3,4,4,6,10,10,8,10,9,10,7,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.009463,0,0,5,3,1,8,2,8,2,3,3,2,1,2,3,1,7,3,1,0,1,2,1,2,5,0,1,0,1,3,0,0,3,5,4,6,10,10,10,10,10,10,8,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.010649,0,0,5,3,1,10,3,8,2,3,4,2,1,2,3,1,7,3,1,0,1,2,1,2,5,0,1,0,1,4,0,0,3,6,4,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm betweenness,0.011854,0,0,6,3,1,10,3,8,2,3,4,2,1,2,3,1,8,3,1,1,1,2,2,2,6,0,1,0,1,8,0,0,3,8,5,10,10,10,10,10,10,10,10,10
