Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.001017204366695075,2,0,2,1,0,0,5,3,3,3,2,4,1,0,1,2,3,1,2,1,1,0,3,2,3,1,0,0,0,1,0,0,0,4,3,3,9,3,10,4,9,9,8,8
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.002165,2,2,4,5,1,0,10,5,5,3,10,5,1,0,2,2,6,3,2,1,1,0,3,3,6,2,4,0,0,4,3,4,1,7,5,4,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.00334,4,3,5,7,2,1,10,9,6,3,10,10,3,0,3,3,9,7,4,1,2,0,3,7,9,3,4,0,2,6,3,6,1,9,5,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.004367,4,6,5,8,2,2,10,10,9,4,10,10,4,0,4,4,10,8,5,1,2,1,3,10,10,5,4,0,3,8,3,7,1,10,9,6,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.005423669989049332,4,6,9,9,2,2,10,10,9,5,10,10,4,0,4,7,10,8,5,1,2,1,6,10,10,7,4,0,5,10,5,10,3,10,10,8,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.006493903903778156,5,8,10,10,2,5,10,10,10,5,10,10,4,0,5,7,10,9,6,2,3,1,7,10,10,8,5,2,7,10,5,10,3,10,10,8,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.007519686434839041,5,9,10,10,2,7,10,10,10,6,10,10,5,0,5,7,10,10,6,2,3,2,7,10,10,9,5,2,8,10,6,10,4,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.008590216633348965,6,10,10,10,2,7,10,10,10,7,10,10,5,0,5,7,10,10,7,3,3,2,9,10,10,10,6,4,8,10,8,10,4,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.009707,8,10,10,10,3,9,10,10,10,7,10,10,6,3,6,7,10,10,7,3,4,3,10,10,10,10,6,4,10,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.0107110992102318,9,10,10,10,4,9,10,10,10,7,10,10,8,4,7,7,10,10,8,3,4,3,10,10,10,10,6,4,10,10,10,10,6,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.011743,9,10,10,10,4,10,10,10,10,7,10,10,8,4,9,7,10,10,9,3,5,5,10,10,10,10,6,5,10,10,10,10,6,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.012902,10,10,10,10,4,10,10,10,10,8,10,10,9,4,10,8,10,10,9,5,7,6,10,10,10,10,6,6,10,10,10,10,6,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.013961508913549898,10,10,10,10,5,10,10,10,10,8,10,10,9,4,10,8,10,10,9,5,7,7,10,10,10,10,6,6,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.015042,10,10,10,10,5,10,10,10,10,8,10,10,9,5,10,8,10,10,10,5,7,8,10,10,10,10,6,7,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.01620317765393413,10,10,10,10,8,10,10,10,10,10,10,10,9,5,10,8,10,10,10,5,7,8,10,10,10,10,6,7,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.017228,10,10,10,10,9,10,10,10,10,10,10,10,9,5,10,8,10,10,10,5,8,9,10,10,10,10,6,9,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.018269051977269014,10,10,10,10,9,10,10,10,10,10,10,10,10,7,10,8,10,10,10,6,8,9,10,10,10,10,6,9,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.019361,10,10,10,10,9,10,10,10,10,10,10,10,10,7,10,9,10,10,10,6,8,10,10,10,10,10,8,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.020439,10,10,10,10,9,10,10,10,10,10,10,10,10,8,10,10,10,10,10,7,8,10,10,10,10,10,8,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.021449,10,10,10,10,9,10,10,10,10,10,10,10,10,8,10,10,10,10,10,7,9,10,10,10,10,10,9,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.022563,10,10,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,7,9,10,10,10,10,10,9,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm greedy,0.023699154254823218,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10
