Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.0010659999999999999,2,2,4,2,0,6,3,0,3,1,0,2,0,0,0,0,5,1,1,0,1,0,1,2,0,0,1,0,2,2,4,1,0,2,2,2,4,9,5,6,7,8,9,6
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.0022680218575128466,3,6,6,5,0,9,9,3,8,1,1,3,1,0,4,0,7,2,1,1,2,0,7,2,1,0,3,1,5,5,6,1,1,5,5,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.0033164484218465946,4,9,7,9,0,10,10,5,10,2,5,4,2,0,5,0,8,4,1,2,3,0,9,6,2,0,3,1,6,5,6,2,5,9,6,9,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.004366075833197531,4,10,10,10,1,10,10,8,10,2,6,5,3,0,5,1,10,6,2,5,3,1,10,6,3,0,5,3,10,8,8,3,6,10,8,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.0054069999999999995,5,10,10,10,1,10,10,9,10,2,7,6,3,1,5,1,10,7,3,5,3,3,10,9,4,1,5,3,10,10,9,4,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.006439516153008939,5,10,10,10,1,10,10,9,10,2,9,9,3,1,5,2,10,9,5,5,4,3,10,10,4,1,6,4,10,10,10,4,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.007460587936463192,5,10,10,10,2,10,10,10,10,2,10,9,3,2,6,2,10,9,7,5,4,3,10,10,5,1,6,5,10,10,10,5,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.008469587798306295,6,10,10,10,2,10,10,10,10,2,10,10,4,2,6,2,10,10,9,5,5,4,10,10,6,1,6,5,10,10,10,5,9,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.009552999999999999,7,10,10,10,3,10,10,10,10,3,10,10,4,4,6,4,10,10,9,5,6,5,10,10,6,2,7,6,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.010609,7,10,10,10,3,10,10,10,10,3,10,10,5,4,7,5,10,10,9,5,7,5,10,10,6,3,7,7,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.011666222163651077,10,10,10,10,3,10,10,10,10,3,10,10,5,5,9,5,10,10,10,5,7,5,10,10,6,4,8,8,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.012693146898697565,10,10,10,10,3,10,10,10,10,3,10,10,7,6,9,5,10,10,10,6,7,5,10,10,6,6,8,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.01374,10,10,10,10,3,10,10,10,10,4,10,10,8,7,10,5,10,10,10,6,7,6,10,10,9,6,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.014774963519032371,10,10,10,10,3,10,10,10,10,5,10,10,10,8,10,6,10,10,10,6,7,6,10,10,10,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.015786253052854766,10,10,10,10,4,10,10,10,10,5,10,10,10,9,10,6,10,10,10,6,7,6,10,10,10,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.016844324886348117,10,10,10,10,6,10,10,10,10,5,10,10,10,9,10,7,10,10,10,6,8,6,10,10,10,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
