Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.0010089228960053515,0,2,1,5,1,4,3,2,5,0,2,1,0,0,3,1,1,0,1,0,0,0,2,1,0,0,0,0,4,1,3,0,0,4,1,2,7,6,8,10,10,10,8,5
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.002097,0,4,4,7,2,8,5,3,9,1,4,2,1,0,3,2,2,0,1,1,0,1,5,2,0,0,0,1,6,2,6,0,1,5,4,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.0031969999999999998,0,6,5,7,2,10,7,3,10,1,10,5,1,0,7,2,5,2,2,2,0,2,8,4,0,1,0,2,8,3,8,0,1,10,7,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.0042300099569476815,0,8,7,9,2,10,10,4,10,1,10,7,2,2,10,3,7,5,4,2,1,2,10,7,0,2,2,3,10,4,10,0,1,10,9,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.005280333479592852,0,8,9,10,4,10,10,6,10,1,10,8,2,2,10,3,9,6,5,4,1,2,10,7,0,3,3,3,10,5,10,0,1,10,10,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.0063059553171221985,1,8,10,10,4,10,10,7,10,3,10,8,4,3,10,3,9,8,5,4,1,2,10,10,2,4,4,3,10,8,10,0,1,10,10,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.0073452568162649485,3,9,10,10,4,10,10,9,10,3,10,8,4,3,10,3,10,10,5,4,3,3,10,10,4,4,5,6,10,10,10,0,2,10,10,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.008436475319958682,4,10,10,10,5,10,10,9,10,3,10,10,5,3,10,5,10,10,6,5,3,4,10,10,7,5,6,7,10,10,10,0,4,10,10,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.009482349486228975,4,10,10,10,6,10,10,10,10,3,10,10,6,4,10,6,10,10,8,5,3,4,10,10,7,5,7,8,10,10,10,0,4,10,10,8,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.010526951719987224,4,10,10,10,7,10,10,10,10,4,10,10,7,5,10,6,10,10,9,5,3,4,10,10,7,6,7,9,10,10,10,0,5,10,10,8,10,10,10,10,10,10,10,10
