Sim. Command,Source,Destination,Sent,Delivered,Dropped,Num. Hop,Sending Time,Sim. Time,Tot. Time
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node12,node10,False,False,tr_node12_to_node0,0,0.0009310903486562594,0.0009310903486562594,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node10,node9,False,False,tr_node10_to_node3,0,0.0009979740387830477,0.0009979740387830477,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node11,node1,False,False,tr_node11_to_node5,0,0.0010089228960053515,0.0010089228960053515,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node10,node4,False,False,tr_node10_to_node3,0,0.0010461701736503353,0.0010461701736503353,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node10,node9,False,False,tr_node10_to_node3,0,0.0010866792889015987,0.0010866792889015987,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node12,node6,False,False,tr_node12_to_node0,0,0.0011346707686370977,0.0011346707686370977,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node13,node12,False,False,tr_node13_to_node3,0,0.0012154217436517586,0.0012154217436517586,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node12,node3,False,False,tr_node12_to_node0,0,0.0012512103910631233,0.0012512103910631233,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node10,node2,False,False,tr_node10_to_node3,0,0.001265401116877164,0.001265401116877164,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,node10,node9,False,False,tr_node10_to_node3,0,0.0012785287996858793,0.0012785287996858793,0.0
