Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.001039,1,2,2,5,2,1,3,1,2,0,1,1,3,2,3,0,0,1,1,0,0,0,3,2,0,1,1,0,4,1,4,0,0,1,2,0,4,8,4,3,4,9,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.0022122035394732597,2,3,2,6,3,2,6,3,4,0,1,4,4,3,3,0,0,3,3,1,0,0,5,5,3,2,2,1,7,3,5,0,0,7,4,2,9,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.003299,2,4,4,6,4,3,9,8,8,1,2,5,4,6,3,0,2,8,3,2,0,0,7,7,4,2,3,2,10,5,8,0,1,10,7,2,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.00439,4,10,7,10,4,5,10,8,10,2,3,6,5,6,4,0,5,8,3,2,0,0,10,10,7,2,3,4,10,7,9,0,1,10,8,3,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.005413497837363634,4,10,9,10,4,9,10,10,10,3,7,6,5,6,5,0,8,10,3,3,1,1,10,10,8,3,3,4,10,8,10,1,2,10,9,4,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.006425446589399812,4,10,10,10,4,10,10,10,10,4,9,7,6,6,5,0,8,10,3,3,1,1,10,10,9,3,5,4,10,10,10,1,2,10,10,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.007478,5,10,10,10,4,10,10,10,10,5,10,9,7,6,6,0,8,10,5,5,1,3,10,10,10,4,5,5,10,10,10,2,2,10,10,6,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.008523103796597648,5,10,10,10,4,10,10,10,10,5,10,10,7,6,7,0,8,10,7,6,1,3,10,10,10,4,5,5,10,10,10,3,2,10,10,6,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.00958320300817188,5,10,10,10,4,10,10,10,10,5,10,10,7,8,8,0,10,10,7,7,1,4,10,10,10,5,5,6,10,10,10,3,3,10,10,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.010610916227981613,5,10,10,10,4,10,10,10,10,5,10,10,7,8,8,0,10,10,7,7,2,4,10,10,10,5,7,6,10,10,10,3,4,10,10,8,10,10,10,10,10,10,10,10
