Sim. Command,Source,Destination,Sent,Delivered,Dropped,Num. Hop,Sending Time,Sim. Time,Tot. Time
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node14,node2,False,False,tr_node14_to_node4,0,0.0008365625938744599,0.0008365625938744599,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node14,node5,False,False,tr_node14_to_node4,0,0.0008405578217037389,0.0008405578217037389,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node14,node10,False,False,tr_node14_to_node4,0,0.0009424406477425291,0.0009424406477425291,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node14,node8,False,False,tr_node14_to_node4,0,0.0009708574303558699,0.0009708574303558699,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node14,node2,False,False,tr_node14_to_node4,0,0.001087932056272898,0.001087932056272898,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node12,node4,False,False,tr_node12_to_node0,0,0.0011836763932214587,0.0011836763932214587,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node12,node0,False,False,tr_node12_to_node0,0,0.0011854983151017976,0.0011854983151017976,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node13,node4,False,False,tr_node13_to_node3,0,0.0012088333596400795,0.0012088333596400795,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node14,node12,False,False,tr_node14_to_node4,0,0.0012183934219429017,0.0012183934219429017,0.0
project/sim_ext.py --sim-time 0.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,node13,node11,False,False,tr_node13_to_node3,0,0.0012731265152832244,0.0012731265152832244,0.0
