Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.001003,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4,1,4,0,2,3
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.002014,0,2,0,1,0,0,1,1,1,0,1,1,0,0,0,0,2,3,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,3,2,4,1,4,3,3,5
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.003105,0,3,0,1,0,0,3,1,1,0,3,1,0,0,0,0,2,3,0,1,2,0,1,1,0,0,2,0,0,1,0,1,0,2,1,0,4,4,6,2,7,4,3,8
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.0041789999999999996,0,4,0,2,0,1,6,1,2,0,3,1,0,1,0,0,2,3,0,1,2,0,1,1,0,0,2,0,1,1,0,1,0,3,1,0,6,6,8,4,9,8,3,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.005269,0,6,0,2,0,1,7,3,4,0,5,1,0,1,1,0,2,3,2,1,2,0,3,1,0,0,2,0,1,1,0,2,0,5,2,0,10,8,10,6,10,10,4,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.006392,0,7,2,2,0,2,7,3,4,0,5,2,0,1,1,0,3,3,2,1,2,0,3,1,0,0,2,0,3,1,0,3,0,8,3,0,10,9,10,7,10,10,7,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.0075699999999999995,0,7,2,2,1,2,8,3,5,0,5,2,0,1,1,0,3,4,2,1,2,0,3,2,0,0,2,0,3,1,0,3,0,8,4,1,10,10,10,8,10,10,7,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.008719,0,7,2,2,1,2,8,3,6,0,6,2,0,1,1,0,3,5,2,1,2,0,4,2,0,0,3,0,4,1,0,3,0,9,4,2,10,10,10,9,10,10,9,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.009852,0,7,2,2,1,2,9,4,7,0,6,3,1,1,1,0,4,5,2,1,2,1,5,2,1,0,3,0,7,2,0,3,0,9,4,2,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01 --algorithm shortest,0.010981,0,8,3,2,1,4,9,4,8,0,7,3,1,1,1,0,4,5,2,1,2,1,7,2,1,0,3,1,7,2,0,3,0,10,4,2,10,10,10,10,10,10,10,10
