Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.001030423746987508,0,1,1,1,0,2,2,4,2,0,2,0,0,1,2,0,0,0,4,0,1,0,6,0,1,0,1,1,3,1,1,1,0,2,1,0,6,5,8,10,6,7,5,5
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.002127,1,3,3,2,1,2,4,6,5,1,4,1,1,3,2,0,3,3,6,1,1,0,8,0,1,3,2,1,5,2,6,2,0,2,1,2,10,10,10,10,10,10,9,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.0032069999999999998,1,4,4,3,2,8,5,8,8,2,4,2,2,4,3,0,4,6,7,2,2,0,10,3,3,3,2,3,8,4,10,3,0,6,1,2,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.00445,1,8,8,4,5,10,10,10,10,2,5,3,2,5,4,2,6,6,8,2,3,0,10,3,3,3,2,3,10,5,10,3,2,8,4,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.005509,1,8,9,4,5,10,10,10,10,4,7,4,2,6,4,3,9,7,8,2,4,3,10,3,5,3,2,3,10,6,10,3,2,10,7,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.0066879999999999995,1,10,10,7,5,10,10,10,10,6,9,7,3,6,6,4,10,9,9,3,5,3,10,8,6,4,2,3,10,6,10,3,2,10,7,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.007968,3,10,10,8,7,10,10,10,10,7,10,7,3,7,8,4,10,10,9,5,7,4,10,10,7,5,2,5,10,7,10,3,3,10,10,5,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.009003,4,10,10,9,7,10,10,10,10,8,10,8,4,8,9,4,10,10,9,5,7,4,10,10,8,5,2,5,10,7,10,3,3,10,10,6,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.010032017078810547,4,10,10,10,7,10,10,10,10,10,10,8,4,9,9,5,10,10,9,6,9,5,10,10,8,5,2,6,10,10,10,3,3,10,10,6,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.011052,4,10,10,10,7,10,10,10,10,10,10,8,4,9,10,5,10,10,9,7,9,6,10,10,8,5,2,6,10,10,10,4,3,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.012065,4,10,10,10,9,10,10,10,10,10,10,9,4,9,10,6,10,10,9,7,9,6,10,10,8,5,3,6,10,10,10,4,3,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.013107,4,10,10,10,10,10,10,10,10,10,10,9,6,10,10,8,10,10,10,7,9,6,10,10,8,5,3,6,10,10,10,4,3,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.014201456155120189,4,10,10,10,10,10,10,10,10,10,10,10,6,10,10,10,10,10,10,7,10,6,10,10,8,6,3,6,10,10,10,4,4,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.015219467855334023,6,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,8,10,7,10,10,8,7,4,6,10,10,10,4,5,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.016308,6,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,10,7,10,10,9,7,4,6,10,10,10,5,5,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.017360999999999998,6,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,10,8,10,10,10,8,4,6,10,10,10,6,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.018392,7,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,9,10,10,10,10,10,8,5,7,10,10,10,6,7,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.019409,8,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,8,6,7,10,10,10,7,9,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.020458999999999998,9,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,8,7,7,10,10,10,7,9,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.021596836223606468,9,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,8,8,8,10,10,10,8,9,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.022633000860909018,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.023901240642676163,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.024926999999999998,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.026137,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10
