Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.001001,0,0,4,0,0,1,1,1,3,1,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,1,2,0,0,1,0,2,6,1,5,2,3,5,2,1
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.002521,0,1,6,0,1,1,4,3,4,2,1,3,2,0,1,0,1,2,3,0,0,5,0,1,1,2,0,0,2,3,3,0,0,2,1,4,10,4,10,9,9,9,4,5
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.003874847465452585,0,2,8,0,2,2,6,5,6,5,2,5,2,0,3,0,2,3,4,0,0,6,1,2,2,2,0,0,7,6,5,0,0,5,1,9,10,6,10,10,10,10,10,8
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.005018,0,2,10,0,2,3,8,7,8,7,2,5,2,0,3,0,2,8,5,0,0,6,2,3,5,3,0,0,8,9,5,0,0,7,2,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.006258,0,2,10,0,2,3,10,9,10,7,4,6,3,0,3,0,2,9,5,0,0,6,4,3,7,5,0,0,10,10,6,0,0,10,2,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.007268,0,3,10,0,3,4,10,10,10,10,4,8,4,0,3,0,2,10,5,0,0,7,5,3,10,7,0,0,10,10,6,0,0,10,2,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.008309,0,4,10,0,3,4,10,10,10,10,4,8,4,0,3,0,3,10,6,0,0,8,5,3,10,7,0,0,10,10,6,0,0,10,3,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.009372,0,5,10,0,3,5,10,10,10,10,6,8,4,0,4,0,4,10,7,0,0,8,5,3,10,8,0,0,10,10,7,0,0,10,4,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.010771,0,6,10,0,3,6,10,10,10,10,7,10,4,0,4,0,4,10,7,0,0,9,5,3,10,9,0,0,10,10,8,0,0,10,5,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm betweenness,0.011832,0,8,10,0,3,9,10,10,10,10,7,10,5,0,4,0,4,10,8,0,0,9,5,4,10,9,0,0,10,10,8,0,0,10,6,10,10,10,10,10,10,10,10,10
