Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.001022,0,3,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,2,1,0,0,5,0,0,3,4,2,6,6,2,4,1
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.00204,0,3,0,0,3,0,0,3,3,1,0,1,1,0,0,0,1,2,2,0,0,0,1,0,1,0,0,0,1,2,2,0,0,9,0,0,8,8,4,10,9,6,7,5
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.003384,0,3,1,0,3,2,0,5,5,2,0,2,1,0,1,0,3,3,2,0,0,0,3,0,2,0,0,0,1,6,3,0,0,10,2,0,10,10,8,10,10,10,10,7
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.004454,0,4,5,0,3,3,0,6,8,5,0,2,2,0,2,0,4,4,4,0,0,1,5,0,3,0,0,0,3,10,3,0,0,10,2,0,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.005477,0,5,7,0,3,4,2,6,8,7,1,2,2,0,3,0,4,5,4,0,0,1,6,1,4,0,0,0,5,10,3,0,0,10,3,0,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.006593,0,8,7,0,3,4,2,7,10,8,3,2,2,0,3,0,6,6,5,0,0,1,9,3,6,1,0,0,5,10,3,0,0,10,6,0,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.0076159999999999995,0,10,9,0,3,6,4,10,10,8,5,2,2,0,4,0,7,8,5,0,0,1,9,4,6,2,0,0,7,10,4,0,0,10,7,0,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.00862,0,10,9,0,3,7,6,10,10,8,6,2,2,0,4,0,8,9,5,0,0,2,10,4,7,3,0,0,8,10,4,0,0,10,7,0,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.009649,0,10,10,0,3,8,6,10,10,8,6,2,2,0,4,0,10,10,7,0,0,3,10,4,7,3,0,0,10,10,4,0,0,10,9,0,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_random.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm shortest,0.010652,0,10,10,0,4,10,7,10,10,8,6,2,3,0,4,0,10,10,7,0,0,3,10,5,10,4,0,0,10,10,4,0,0,10,9,0,10,10,10,10,10,10,10,10
