Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.001004,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,3,2,1,0,2,1,0
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.002241,0,2,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,2,2,0,0,3,1,0,2,4,3,6,3,2,2,1
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.003541,0,2,2,0,0,2,2,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0,1,2,1,0,0,0,1,2,2,0,0,4,1,1,4,5,3,10,7,3,8,2
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.00481,0,5,2,0,0,5,3,1,0,0,3,1,0,0,0,0,1,1,1,2,1,0,1,2,1,1,0,0,1,2,3,0,0,6,1,1,5,6,4,10,8,5,9,3
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.005831,0,5,2,0,0,7,3,2,0,0,4,1,0,0,0,0,1,2,1,2,1,0,2,2,1,1,0,0,1,2,3,0,0,6,1,1,10,10,6,10,8,8,10,4
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.007178622200256617,1,6,2,0,0,7,6,2,1,0,6,1,0,0,1,0,1,2,1,2,1,0,3,2,2,1,0,2,1,3,3,0,0,6,2,1,10,10,8,10,9,8,10,6
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.008303,1,7,2,1,0,7,9,2,1,0,6,1,0,0,1,0,1,2,1,2,1,0,7,2,3,1,0,2,1,3,3,0,1,6,3,1,10,10,10,10,9,10,10,6
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.00955,2,8,2,3,0,9,9,2,2,0,6,1,0,0,1,0,2,2,1,2,1,0,7,4,3,1,0,2,3,3,3,0,1,6,4,1,10,10,10,10,9,10,10,6
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.010801999999999999,2,9,2,3,0,9,10,2,3,0,7,1,0,0,2,0,3,2,2,3,1,0,9,4,3,1,0,2,4,3,4,0,1,6,4,1,10,10,10,10,9,10,10,6
project/sim_ext.py --sim-time 7.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.01,0.01206,2,10,2,3,1,9,10,2,3,0,8,1,0,0,2,0,3,2,2,3,1,1,10,4,3,1,0,2,5,4,4,0,1,6,4,1,10,10,10,10,10,10,10,7
