Sim. Command,Time,tr_node0_to_node1,tr_node0_to_node2,tr_node0_to_node3,tr_node0_to_node4,tr_node0_to_node12,tr_node1_to_node0,tr_node1_to_node2,tr_node1_to_node3,tr_node2_to_node0,tr_node2_to_node1,tr_node2_to_node3,tr_node2_to_node5,tr_node2_to_node8,tr_node2_to_node9,tr_node3_to_node0,tr_node3_to_node1,tr_node3_to_node2,tr_node3_to_node4,tr_node3_to_node5,tr_node3_to_node6,tr_node3_to_node10,tr_node3_to_node13,tr_node4_to_node0,tr_node4_to_node3,tr_node4_to_node5,tr_node4_to_node6,tr_node4_to_node7,tr_node4_to_node14,tr_node5_to_node2,tr_node5_to_node3,tr_node5_to_node4,tr_node5_to_node6,tr_node5_to_node11,tr_node6_to_node3,tr_node6_to_node4,tr_node6_to_node5,tr_node7_to_node4,tr_node8_to_node2,tr_node9_to_node2,tr_node10_to_node3,tr_node11_to_node5,tr_node12_to_node0,tr_node13_to_node3,tr_node14_to_node4
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.0010197003493041007,1,9,2,1,0,3,2,0,3,0,3,2,0,1,4,0,0,1,2,0,0,0,4,1,0,1,2,1,2,2,2,0,0,2,1,0,4,8,10,10,5,8,10,9
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.00209,1,9,6,3,1,5,7,3,4,0,6,5,2,1,4,0,3,1,3,0,0,0,7,2,2,2,2,1,7,3,3,0,1,6,3,1,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.003389,2,10,8,4,2,8,10,6,8,0,8,8,2,2,5,1,5,4,6,0,0,2,10,5,3,3,3,1,10,6,3,0,1,10,8,3,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.004753,2,10,10,7,2,10,10,8,10,1,10,9,4,2,5,1,7,5,8,0,1,2,10,7,3,3,4,1,10,6,4,0,2,10,10,7,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.005939,2,10,10,8,3,10,10,9,10,2,10,10,4,3,6,1,10,6,9,1,2,3,10,7,5,4,4,1,10,7,6,2,2,10,10,8,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.007071,2,10,10,8,3,10,10,10,10,2,10,10,4,3,10,3,10,8,9,3,2,4,10,8,5,7,7,2,10,8,8,2,3,10,10,8,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.008116119424060275,2,10,10,10,3,10,10,10,10,2,10,10,4,3,10,5,10,8,10,3,2,4,10,10,5,7,8,2,10,9,9,3,3,10,10,9,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.009141479191801033,3,10,10,10,3,10,10,10,10,2,10,10,5,3,10,5,10,9,10,4,3,4,10,10,7,8,9,2,10,10,10,5,4,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.010159,3,10,10,10,4,10,10,10,10,2,10,10,7,5,10,6,10,10,10,4,5,7,10,10,10,8,10,2,10,10,10,5,4,10,10,10,10,10,10,10,10,10,10,10
project/sim_ext.py --sim-time 1.5 --seq-graph project/file/graph_15_nodes.json --traffic project/file/traffic_15_nodes_net.json --inspection-rate 0.001 --mess-rate 0.002 --algorithm centflow,0.011312,4,10,10,10,4,10,10,10,10,2,10,10,8,5,10,7,10,10,10,4,5,7,10,10,10,10,10,2,10,10,10,6,5,10,10,10,10,10,10,10,10,10,10,10
